candidate_id,rank,score,reasoning
CAND_0077337,1,1.0000,Staff Machine Learning Engineer with 7.0 yrs; 5 AI core skills; response rate 0.95
CAND_0002025,2,0.7996,Senior AI Engineer with 5.9 yrs; 4 AI core skills; response rate 0.80
CAND_0046064,3,0.7435,Senior NLP Engineer with 8.9 yrs; 4 AI core skills; response rate 0.78
CAND_0081846,4,0.7060,Lead AI Engineer with 6.7 yrs; 4 AI core skills; response rate 0.73
CAND_0095528,5,0.6752,Senior Data Scientist with 5.3 yrs; 5 AI core skills; response rate 0.55
CAND_0088025,6,0.6748,Staff Machine Learning Engineer with 8.6 yrs; 5 AI core skills; response rate 0.83
CAND_0070525,7,0.6218,Senior Software Engineer (ML) with 5.4 yrs; 5 AI core skills; response rate 0.93
CAND_0059017,8,0.6139,AI Research Engineer with 6.8 yrs; 6 AI core skills; response rate 0.75
CAND_0072660,9,0.5982,Machine Learning Engineer with 7.1 yrs; 5 AI core skills; response rate 0.53
CAND_0079387,10,0.5862,AI Engineer with 6.9 yrs; 5 AI core skills; response rate 0.81
CAND_0076959,11,0.5590,Software Engineer with 7.6 yrs; 5 AI core skills; response rate 0.68
CAND_0008295,12,0.5527,AI Research Engineer with 6.5 yrs; 4 AI core skills; response rate 0.89
CAND_0052328,13,0.5234,Recommendation Systems Engineer with 6.5 yrs; 5 AI core skills; response rate 0.79
CAND_0098952,14,0.5202,AI Research Engineer with 5.5 yrs; 5 AI core skills; response rate 0.66
CAND_0039754,15,0.5100,Senior Applied Scientist with 16.2 yrs; 4 AI core skills; response rate 0.81
CAND_0030348,16,0.5020,Machine Learning Engineer with 4.5 yrs; 4 AI core skills; response rate 0.54
CAND_0040178,17,0.4934,ML Engineer with 5.0 yrs; 5 AI core skills; response rate 0.55
CAND_0007596,18,0.4697,Junior ML Engineer with 4.4 yrs; 5 AI core skills; response rate 0.86
CAND_0018499,19,0.4636,Senior Machine Learning Engineer with 7.2 yrs; 4 AI core skills; response rate 0.61
CAND_0020954,20,0.4363,Senior Software Engineer with 7.1 yrs; 6 AI core skills; response rate 0.72
CAND_0030784,21,0.4337,Data Scientist with 4.4 yrs; 6 AI core skills; response rate 0.90
CAND_0008943,22,0.4096,Computer Vision Engineer with 6.0 yrs; 4 AI core skills; response rate 0.64
CAND_0015097,23,0.4091,Senior Software Engineer (ML) with 6.0 yrs; 4 AI core skills; response rate 0.69
CAND_0089495,24,0.3962,Senior Software Engineer (ML) with 4.3 yrs; 5 AI core skills; response rate 0.72
CAND_0024620,25,0.3954,AI Engineer with 5.9 yrs; 5 AI core skills; response rate 0.41
CAND_0043860,26,0.3950,Junior ML Engineer with 6.1 yrs; 4 AI core skills; response rate 0.81
CAND_0029439,27,0.3856,AI Specialist with 6.4 yrs; 4 AI core skills; response rate 0.60
CAND_0043904,28,0.3822,Data Scientist with 4.6 yrs; 4 AI core skills; response rate 0.53
CAND_0082086,29,0.3780,Senior Software Engineer (ML) with 6.0 yrs; 4 AI core skills; response rate 0.85
CAND_0008425,30,0.3683,Senior NLP Engineer with 7.8 yrs; 5 AI core skills; response rate 0.66
CAND_0076251,31,0.3617,Search Engineer with 7.6 yrs; 4 AI core skills; response rate 0.51
CAND_0069905,32,0.3588,Applied ML Engineer with 6.6 yrs; 5 AI core skills; response rate 0.78
CAND_0017960,33,0.3556,Recommendation Systems Engineer with 7.7 yrs; 4 AI core skills; response rate 0.72
CAND_0016659,34,0.3493,ML Engineer with 4.4 yrs; 5 AI core skills; response rate 0.89
CAND_0010541,35,0.3489,AI Research Engineer with 6.2 yrs; 5 AI core skills; response rate 0.59
CAND_0070514,36,0.3401,AI Specialist with 5.5 yrs; 5 AI core skills; response rate 0.80
CAND_0054318,37,0.3397,AI Research Engineer with 3.5 yrs; 5 AI core skills; response rate 0.87
CAND_0021491,38,0.3327,AI Research Engineer with 6.1 yrs; 5 AI core skills; response rate 0.61
CAND_0055905,39,0.3017,Senior Machine Learning Engineer with 8.1 yrs; 3 AI core skills; response rate 0.87
CAND_0089381,40,0.2999,Computer Vision Engineer with 6.0 yrs; 5 AI core skills; response rate 0.81
CAND_0005509,41,0.2964,Data Scientist with 6.0 yrs; 6 AI core skills; response rate 0.40
CAND_0071974,42,0.2922,Senior AI Engineer with 7.8 yrs; 4 AI core skills; response rate 0.76
CAND_0073620,43,0.2900,AI Research Engineer with 4.4 yrs; 5 AI core skills; response rate 0.63
CAND_0077067,44,0.2896,AI Specialist with 5.4 yrs; 5 AI core skills; response rate 0.83
CAND_0099806,45,0.2864,AI Engineer with 4.6 yrs; 5 AI core skills; response rate 0.76
CAND_0024116,46,0.2835,Data Analyst with 7.7 yrs; 5 AI core skills; response rate 0.36
CAND_0021442,47,0.2832,AI Specialist with 3.9 yrs; 4 AI core skills; response rate 0.66
CAND_0047542,48,0.2689,Senior Software Engineer (ML) with 5.0 yrs; 4 AI core skills; response rate 0.75
CAND_0027691,49,0.2653,NLP Engineer with 6.5 yrs; 5 AI core skills; response rate 0.68
CAND_0028287,50,0.2644,Data Scientist with 5.7 yrs; 4 AI core skills; response rate 0.60
CAND_0090234,51,0.2517,Senior Software Engineer with 4.3 yrs; 6 AI core skills; response rate 0.78
CAND_0073883,52,0.2432,AI Specialist with 5.3 yrs; 5 AI core skills; response rate 0.92
CAND_0073917,53,0.2409,Data Scientist with 5.8 yrs; 6 AI core skills; response rate 0.46
CAND_0082262,54,0.2393,Senior Software Engineer (ML) with 5.9 yrs; 4 AI core skills; response rate 0.64
CAND_0065430,55,0.2341,ML Engineer with 4.4 yrs; 4 AI core skills; response rate 0.71
CAND_0003791,56,0.2076,ML Engineer with 6.6 yrs; 5 AI core skills; response rate 0.66
CAND_0064326,57,0.2026,Search Engineer with 7.6 yrs; 4 AI core skills; response rate 0.94
CAND_0011687,58,0.1885,Senior NLP Engineer with 7.8 yrs; 4 AI core skills; response rate 0.89
CAND_0062707,59,0.1785,Senior Software Engineer (ML) with 5.6 yrs; 5 AI core skills; response rate 0.30
CAND_0073007,60,0.1724,AI Specialist with 5.8 yrs; 4 AI core skills; response rate 0.83
CAND_0048375,61,0.1696,Computer Vision Engineer with 4.4 yrs; 5 AI core skills; response rate 0.83
CAND_0094799,62,0.1500,Backend Engineer with 6.1 yrs; 5 AI core skills; response rate 0.52
CAND_0005269,63,0.1456,Senior Software Engineer (ML) with 6.1 yrs; 4 AI core skills; response rate 0.28
CAND_0091254,64,0.1390,AI Research Engineer with 5.2 yrs; 5 AI core skills; response rate 0.53
CAND_0057701,65,0.1363,Recommendation Systems Engineer with 4.1 yrs; 6 AI core skills; response rate 0.56
CAND_0056910,66,0.1254,Junior ML Engineer with 4.0 yrs; 5 AI core skills; response rate 0.28
CAND_0091229,67,0.1250,Senior Software Engineer (ML) with 7.0 yrs; 4 AI core skills; response rate 0.35
CAND_0032067,68,0.1213,Senior Data Engineer with 4.4 yrs; 5 AI core skills; response rate 0.67
CAND_0006567,69,0.1115,Senior AI Engineer with 7.9 yrs; 4 AI core skills; response rate 0.79
CAND_0004402,70,0.1099,AI Research Engineer with 6.0 yrs; 4 AI core skills; response rate 0.83
CAND_0024990,71,0.1089,Junior ML Engineer with 5.2 yrs; 4 AI core skills; response rate 0.83
CAND_0098780,72,0.1081,AI Research Engineer with 5.9 yrs; 4 AI core skills; response rate 0.57
CAND_0044222,73,0.1063,AI Engineer with 7.7 yrs; 4 AI core skills; response rate 0.60
CAND_0035653,74,0.0995,Data Scientist with 5.6 yrs; 4 AI core skills; response rate 0.35
CAND_0092568,75,0.0972,AI Specialist with 5.7 yrs; 5 AI core skills; response rate 0.39
CAND_0014440,76,0.0968,Recommendation Systems Engineer with 6.4 yrs; 4 AI core skills; response rate 0.64
CAND_0076163,77,0.0907,NLP Engineer with 6.9 yrs; 4 AI core skills; response rate 0.84
CAND_0062413,78,0.0870,AI Research Engineer with 6.6 yrs; 5 AI core skills; response rate 0.71
CAND_0050454,79,0.0768,AI Engineer with 6.8 yrs; 4 AI core skills; response rate 0.77
CAND_0098454,80,0.0751,AI Specialist with 6.6 yrs; 4 AI core skills; response rate 0.87
CAND_0018701,81,0.0739,Junior ML Engineer with 6.0 yrs; 4 AI core skills; response rate 0.71
CAND_0069638,82,0.0616,Computer Vision Engineer with 6.2 yrs; 4 AI core skills; response rate 0.64
CAND_0020845,83,0.0597,AI Research Engineer with 7.0 yrs; 4 AI core skills; response rate 0.35
CAND_0015967,84,0.0518,Senior Software Engineer (ML) with 5.4 yrs; 4 AI core skills; response rate 0.45
CAND_0041610,85,0.0499,Recommendation Systems Engineer with 6.7 yrs; 4 AI core skills; response rate 0.52
CAND_0054100,86,0.0456,Junior ML Engineer with 6.0 yrs; 4 AI core skills; response rate 0.79
CAND_0047310,87,0.0443,Senior Data Engineer with 6.8 yrs; 5 AI core skills; response rate 0.43
CAND_0087744,88,0.0439,Senior Software Engineer (ML) with 3.9 yrs; 4 AI core skills; response rate 0.88
CAND_0048558,89,0.0407,Data Scientist with 6.7 yrs; 4 AI core skills; response rate 0.80
CAND_0001819,90,0.0357,ML Engineer with 4.4 yrs; 4 AI core skills; response rate 0.75
CAND_0076587,91,0.0353,AI Specialist with 4.9 yrs; 5 AI core skills; response rate 0.46
CAND_0000031,92,0.0336,Recommendation Systems Engineer with 6.0 yrs; 4 AI core skills; response rate 0.91
CAND_0014063,93,0.0332,AI Specialist with 5.4 yrs; 4 AI core skills; response rate 0.69
CAND_0080315,94,0.0268,AI Research Engineer with 4.1 yrs; 4 AI core skills; response rate 0.29
CAND_0010595,95,0.0225,Data Engineer with 5.2 yrs; 5 AI core skills; response rate 0.26
CAND_0078002,96,0.0201,Machine Learning Engineer with 6.3 yrs; 4 AI core skills; response rate 0.86
CAND_0062247,97,0.0177,AI Engineer with 7.3 yrs; 4 AI core skills; response rate 0.78
CAND_0041568,98,0.0175,Search Engineer with 5.2 yrs; 4 AI core skills; response rate 0.52
CAND_0046459,99,0.0154,AI Research Engineer with 4.5 yrs; 4 AI core skills; response rate 0.84
CAND_0018094,100,0.0100,ML Engineer with 5.2 yrs; 4 AI core skills; response rate 0.69
